web-scraper-order,web-scraper-start-url,urls,urls-href
"1756773286-1","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10005B.pdf"
"1756773286-2","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622613001_US_EN"
"1756773286-3","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622613001_MX_ES"
"1756773286-4","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622615001_US_EN"
"1756773286-5","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622615001_MX_ES"
"1756773286-6","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622625001_US_EN"
"1756773286-7","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622625001_MX_ES"
"1756773286-8","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10005A.pdf"
"1756773286-9","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/622610001.pdf"
"1756773286-10","https://www.citgolubes.com/PI-SDS.do","Español","http://www.docs.citgo.com/msds_pi/622610001-s.pdf"
"1756773286-11","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/622630001.pdf"
"1756773286-12","https://www.citgolubes.com/PI-SDS.do","Español","http://www.docs.citgo.com/msds_pi/622630001-s.pdf"
"1756773286-13","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/622640001.pdf"
"1756773286-14","https://www.citgolubes.com/PI-SDS.do","Español","http://www.docs.citgo.com/msds_pi/622640001-s.pdf"
"1756773286-15","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/622650001.pdf"
"1756773286-16","https://www.citgolubes.com/PI-SDS.do","Español","http://www.docs.citgo.com/msds_pi/622650001-s.pdf"
"1756773286-17","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10246.pdf"
"1756773286-18","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622721001_US_EN"
"1756773286-19","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622721001_MX_ES"
"1756773286-20","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622723001_US_EN"
"1756773286-21","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622723001_MX_ES"
"1756773286-22","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10128.pdf"
"1756773286-23","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632020001_US_EN"
"1756773286-24","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632020001_MX_ES"
"1756773286-25","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632019001_US_EN"
"1756773286-26","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632019001_MX_ES"
"1756773286-27","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10234.pdf"
"1756773286-28","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622676001_US_EN"
"1756773286-29","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622676001_MX_ES"
"1756773286-30","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622677001_US_EN"
"1756773286-31","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=622677001_MX_ES"
"1756773286-32","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10147.pdf"
"1756773286-33","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632495001_US_EN"
"1756773286-34","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632495001_MX_ES"
"1756773286-35","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632496001_US_EN"
"1756773286-36","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632496001_MX_ES"
"1756773286-37","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632497001_US_EN"
"1756773286-38","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632497001_MX_ES"
"1756773286-39","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632498001_US_EN"
"1756773286-40","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632498001_MX_ES"
"1756773286-41","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10139.pdf"
"1756773286-42","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633746001_US_EN"
"1756773286-43","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633746001_MX_ES"
"1756773286-44","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10139.pdf"
"1756773286-45","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633748001_US_EN"
"1756773286-46","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=633748001_MX_ES"
"1756773286-47","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10099.pdf"
"1756773286-48","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=637141001_US_EN"
"1756773286-49","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=637141001_MX_ES"
"1756773286-50","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10146.pdf"
"1756773286-51","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632566001_US_EN"
"1756773286-52","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632566001_MX_ES"
"1756773286-53","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632568001_US_EN"
"1756773286-54","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632568001_MX_ES"
"1756773286-55","https://www.citgolubes.com/PI-SDS.do","English","http://www.docs.citgo.com/msds_pi/C10093.pdf"
"1756773286-56","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632542001_US_EN"
"1756773286-57","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632542001_MX_ES"
"1756773286-58","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632348001_US_EN"
"1756773286-59","https://www.citgolubes.com/PI-SDS.do","Español","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632348001_MX_ES"
"1756773286-60","https://www.citgolubes.com/PI-SDS.do","English","https://apps.spheracloud.net/LoginFetch.aspx?userid=7EEpJ1QmzKUA&companyid=37NzIg6inj0A&method=FETCHSDS&searchfield=SN&searchvalue=632595001_US_EN"
